Year,Site,Treatment,Block,Plot,Species,Rel.cover,Accepted.Latin.Name.or.category,functional_group,Total.cover,Abs.cover
2020,06MAT,F2,1,1,Eri vag,7.9,Eriophorum vaginatum,graminoid,76,600.4
2020,06MAT,F2,1,2,Eri vag,5.7,Eriophorum vaginatum,graminoid,88,501.6
2020,06MAT,F2,1,3,Eri vag,5.6,Eriophorum vaginatum,graminoid,90,503.99999999999994
2020,06MAT,F2,1,4,Eri vag,10,Eriophorum vaginatum,graminoid,70,700
2020,06MAT,F2,1,5,Eri vag,16.4,Eriophorum vaginatum,graminoid,67,1098.8
2020,06MAT,F5,1,1,Eri vag,17.9,Eriophorum vaginatum,graminoid,78,1396.1999999999998
2020,06MAT,F5,1,2,Eri vag,24.2,Eriophorum vaginatum,graminoid,66,1597.2
2020,06MAT,F5,1,3,Eri vag,19.8,Eriophorum vaginatum,graminoid,81,1603.8
2020,06MAT,F5,1,4,Eri vag,10.3,Eriophorum vaginatum,graminoid,78,803.4000000000001
2020,06MAT,F5,1,5,Eri vag,16.2,Eriophorum vaginatum,graminoid,68,1101.6
2020,06MAT,F10,1,1,Eri vag,2.5,Eriophorum vaginatum,graminoid,79,197.5
2020,06MAT,F10,1,2,Eri vag,12.1,Eriophorum vaginatum,graminoid,66,798.6
2020,06MAT,F10,1,3,Eri vag,2.7,Eriophorum vaginatum,graminoid,74.5,201.15
2020,06MAT,F10,1,5,Eri vag,24,Eriophorum vaginatum,graminoid,50,1200
2020,06MAT,CT,2,1,Eri vag,38.4,Eriophorum vaginatum,graminoid,88.5,3398.4
2020,06MAT,CT,2,2,Eri vag,16.1,Eriophorum vaginatum,graminoid,74.5,1199.45
2020,06MAT,CT,2,3,Eri vag,11.6,Eriophorum vaginatum,graminoid,77.5,899
2020,06MAT,CT,2,4,Eri vag,16.8,Eriophorum vaginatum,graminoid,95.5,1604.4
2020,06MAT,CT,2,5,Eri vag,9.6,Eriophorum vaginatum,graminoid,83,796.8
2020,06MAT,F2,2,1,Eri vag,10.3,Eriophorum vaginatum,graminoid,68,700.4000000000001
2020,06MAT,F2,2,2,Eri vag,17.8,Eriophorum vaginatum,graminoid,95.5,1699.9
2020,06MAT,F2,2,3,Eri vag,13.3,Eriophorum vaginatum,graminoid,67.5,897.75
2020,06MAT,F2,2,4,Eri vag,10.2,Eriophorum vaginatum,graminoid,98.5,1004.6999999999999
2020,06MAT,F2,2,5,Eri vag,6.2,Eriophorum vaginatum,graminoid,81,502.2
2020,06MAT,F5,2,1,Eri vag,8.9,Eriophorum vaginatum,graminoid,67.5,600.75
2020,06MAT,F5,2,2,Eri vag,2.7,Eriophorum vaginatum,graminoid,73.5,198.45000000000002
2020,06MAT,F5,2,3,Eri vag,5.4,Eriophorum vaginatum,graminoid,56,302.40000000000003
2020,06MAT,F5,2,4,Eri vag,15.3,Eriophorum vaginatum,graminoid,65.5,1002.1500000000001
2020,06MAT,F5,2,5,Eri vag,10.8,Eriophorum vaginatum,graminoid,55.5,599.4000000000001
2020,06MAT,F10,2,1,Eri vag,3,Eriophorum vaginatum,graminoid,66.5,199.5
2020,06MAT,F10,2,2,Eri vag,22.8,Eriophorum vaginatum,graminoid,39.5,900.6
2020,06MAT,F10,2,3,Eri vag,14.8,Eriophorum vaginatum,graminoid,54,799.2
2020,06MAT,F10,2,4,Eri vag,2.6,Eriophorum vaginatum,graminoid,78,202.8
2020,06MAT,F10,2,5,Eri vag,7.8,Eriophorum vaginatum,graminoid,76.5,596.6999999999999
2020,06MAT,CT,3,1,Eri vag,18.5,Eriophorum vaginatum,graminoid,81,1498.5
2020,06MAT,CT,3,2,Eri vag,9.6,Eriophorum vaginatum,graminoid,83,796.8
2020,06MAT,CT,3,3,Eri vag,4.2,Eriophorum vaginatum,graminoid,71,298.2
2020,06MAT,CT,3,4,Eri vag,2.2,Eriophorum vaginatum,graminoid,91,200.20000000000002
2020,06MAT,CT,3,5,Eri vag,1.3,Eriophorum vaginatum,graminoid,75,97.5
2020,06MAT,F2,3,1,Eri vag,2.7,Eriophorum vaginatum,graminoid,74,199.8
2020,06MAT,F2,3,2,Eri vag,3.3,Eriophorum vaginatum,graminoid,90,297
2020,06MAT,F2,3,3,Eri vag,1.2,Eriophorum vaginatum,graminoid,85.5,102.6
2020,06MAT,F2,3,4,Eri vag,6.7,Eriophorum vaginatum,graminoid,90,603
2020,06MAT,F2,3,5,Eri vag,7,Eriophorum vaginatum,graminoid,71,497
2020,06MAT,F5,3,1,Eri vag,8.1,Eriophorum vaginatum,graminoid,61.5,498.15
2020,06MAT,F5,3,2,Eri vag,7.5,Eriophorum vaginatum,graminoid,80,600
2020,06MAT,F5,3,3,Eri vag,3,Eriophorum vaginatum,graminoid,67.5,202.5
2020,06MAT,F5,3,4,Eri vag,10.7,Eriophorum vaginatum,graminoid,74.5,797.15
2020,06MAT,F5,3,5,Eri vag,8.8,Eriophorum vaginatum,graminoid,68.5,602.8000000000001
2020,06MAT,F10,3,1,Eri vag,4.8,Eriophorum vaginatum,graminoid,63,302.4
2020,06MAT,F10,3,3,Eri vag,7.2,Eriophorum vaginatum,graminoid,69.5,500.40000000000003
2020,06MAT,F2,1,1,Fes sp.,1.3,Festuca species,graminoid,76,98.8
2008,06MAT,F5,1,4,frost boil,4.2,Soil Frost boil,ground,NA,NA
2008,06MAT,CT,2,1,frost boil,1,Soil Frost boil,ground,NA,NA
2008,06MAT,CT,2,4,frost boil,3.6,Soil Frost boil,ground,NA,NA
2008,06MAT,F5,2,3,frost boil,5,Soil Frost boil,ground,NA,NA
2008,06MAT,F10,2,1,frost boil,5.4,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,2,3,frost boil,2.7,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,2,4,frost boil,1,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,3,3,frost boil,4,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,3,4,frost boil,4.3,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,3,5,frost boil,2.1,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,3,6,frost boil,0.9,Soil Frost boil,ground,NA,NA
2010,06MAT,CT,3,7,frost boil,1.1,Soil Frost boil,ground,NA,NA
2012,06MAT,F2,2,3,frost boil,2.6,Soil Frost boil,ground,NA,NA
2013,06MAT,CT,2,3,frost boil,1.7,Soil Frost boil,ground,NA,NA
2013,06MAT,CT,2,4,frost boil,1.2,Soil Frost boil,ground,NA,NA
2013,06MAT,F2,2,3,frost boil,1.2,Soil Frost boil,ground,NA,NA
2013,06MAT,F2,3,1,frost boil,1.2,Soil Frost boil,ground,NA,NA
2016,06MAT,CT,1,4,frost boil,2.9,Soil Frost boil,ground,NA,NA
2016,06MAT,CT,1,8,frost boil,1.3,Soil Frost boil,ground,NA,NA
2016,06MAT,CT,2,3,frost boil,3,Soil Frost boil,ground,NA,NA
2016,06MAT,CT,3,5,frost boil,1.6,Soil Frost boil,ground,NA,NA
2018,06MAT,CT,2,3,frost boil,1.9,Soil Frost boil,ground,155,294.5
2019,06MAT,CT,2,3,frost boil,3.3,Soil Frost boil,ground,91.5,301.95
2019,06MAT,CT,2,4,frost boil,2.2,Soil Frost boil,ground,89,195.8
2019,06MAT,CT,3,4,frost boil,12.2,Soil Frost boil,ground,82,1000.4
2020,06MAT,CT,2,3,frost boil,5.2,Soil Frost boil,ground,77.5,403
2019,06MAT,F2,1,1,graminoid,1.4,graminoid,graminoid,70.5,98.69999999999999
2019,06MAT,F2,1,1,graminoid,5.7,graminoid,graminoid,70.5,401.85
2019,06MAT,F2,1,2,graminoid,7.7,graminoid,graminoid,65,500.5
2019,06MAT,F2,1,3,graminoid,2,graminoid,graminoid,49,98
2019,06MAT,F2,1,5,graminoid,1,graminoid,graminoid,51.5,51.5
2019,06MAT,CT,3,1,graminoid,20.6,graminoid,graminoid,82.5,1699.5000000000002
2019,06MAT,CT,3,2,graminoid,32.3,graminoid,graminoid,80.5,2600.1499999999996
2019,06MAT,CT,3,3,graminoid,14.5,graminoid,graminoid,83,1203.5
2019,06MAT,CT,3,4,graminoid,13.4,graminoid,graminoid,82,1098.8
2019,06MAT,CT,3,5,graminoid,26.8,graminoid,graminoid,82,2197.6
2019,06MAT,CT,3,6,graminoid,9.3,graminoid,graminoid,107,995.1
2019,06MAT,CT,3,7,graminoid,12.5,graminoid,graminoid,64,800
2019,06MAT,CT,3,8,graminoid,5.9,graminoid,graminoid,85,501.50000000000006
2019,06MAT,F2,3,1,graminoid,21.5,graminoid,graminoid,74.5,1601.75
2019,06MAT,F2,3,2,graminoid,13.5,graminoid,graminoid,96,1296
2019,06MAT,F2,3,3,graminoid,20.5,graminoid,graminoid,97.5,1998.75
2019,06MAT,F2,3,4,graminoid,14.4,graminoid,graminoid,76.5,1101.6000000000001
2019,06MAT,F2,3,5,graminoid,26.1,graminoid,graminoid,76.5,1996.65
2019,06MAT,F2,3,6,graminoid,13.2,graminoid,graminoid,91,1201.2
2019,06MAT,F2,3,7,graminoid,9.5,graminoid,graminoid,74,703
2019,06MAT,F2,3,8,graminoid,9.8,graminoid,graminoid,71.5,700.7
2019,06MAT,F5,3,1,graminoid,32.5,graminoid,graminoid,77,2502.5
2019,06MAT,F5,3,2,graminoid,19.7,graminoid,graminoid,66,1300.2
2019,06MAT,F5,3,3,graminoid,18.3,graminoid,graminoid,76.5,1399.95
2019,06MAT,F5,3,4,graminoid,19.7,graminoid,graminoid,101.5,1999.55
2019,06MAT,F5,3,5,graminoid,15.7,graminoid,graminoid,70,1099
2019,06MAT,F5,3,6,graminoid,7.1,graminoid,graminoid,70.5,500.54999999999995
2019,06MAT,F5,3,7,graminoid,24.5,graminoid,graminoid,81.5,1996.75
2019,06MAT,F5,3,8,graminoid,4.2,graminoid,graminoid,71.5,300.3
2019,06MAT,F10,3,1,graminoid,4.1,graminoid,graminoid,74,303.4
2019,06MAT,F10,3,2,graminoid,1.4,graminoid,graminoid,71,99.39999999999999
2019,06MAT,F10,3,3,graminoid,1,graminoid,graminoid,96.5,96.5
2019,06MAT,F10,3,4,graminoid,1.1,graminoid,graminoid,94,103.4
2019,06MAT,F10,3,5,graminoid,17,graminoid,graminoid,70.5,1198.5
2019,06MAT,F10,3,6,graminoid,10.8,graminoid,graminoid,83,896.4000000000001
2019,06MAT,F10,3,7,graminoid,12.3,graminoid,graminoid,81,996.3000000000001
2019,06MAT,F10,3,8,graminoid,10,graminoid,graminoid,90,900
2010,06MAT,F5,1,6,grass,0.5,grass,graminoid,NA,NA
2010,06MAT,F10,1,1,grass,2,grass,graminoid,NA,NA
2010,06MAT,F10,1,2,grass,0.9,grass,graminoid,NA,NA
2010,06MAT,F10,1,3,grass,2,grass,graminoid,NA,NA
2010,06MAT,F10,1,4,grass,0.6,grass,graminoid,NA,NA
2010,06MAT,F10,1,5,grass,2,grass,graminoid,NA,NA
2010,06MAT,F10,1,6,grass,0.6,grass,graminoid,NA,NA
2010,06MAT,F10,1,8,grass,0.9,grass,graminoid,NA,NA
2010,06MAT,F10,2,6,grass,3.3,grass,graminoid,NA,NA
2010,06MAT,F10,2,7,grass,9.5,grass,graminoid,NA,NA
2010,06MAT,F10,2,8,grass,9.6,grass,graminoid,NA,NA
2010,06MAT,F10,3,1,grass,7.8,grass,graminoid,NA,NA
2010,06MAT,F10,3,2,grass,1.7,grass,graminoid,NA,NA
2010,06MAT,F10,3,3,grass,0.9,grass,graminoid,NA,NA
2010,06MAT,F10,3,4,grass,2.7,grass,graminoid,NA,NA
2010,06MAT,F10,3,5,grass,0.5,grass,graminoid,NA,NA
2010,06MAT,F10,3,7,grass,0.5,grass,graminoid,NA,NA
2010,06MAT,F10,3,8,grass,0.5,grass,graminoid,NA,NA
2016,06MAT,F2,1,1,grass,3.6,grass,graminoid,NA,NA
2016,06MAT,F2,1,2,grass,0.7,grass,graminoid,NA,NA
2016,06MAT,F2,1,3,grass,1.9,grass,graminoid,NA,NA
2016,06MAT,F2,1,4,grass,1.6,grass,graminoid,NA,NA
2016,06MAT,F2,1,5,grass,1.1,grass,graminoid,NA,NA
2016,06MAT,F2,1,6,grass,0.7,grass,graminoid,NA,NA
2016,06MAT,F2,1,7,grass,1.3,grass,graminoid,NA,NA
2016,06MAT,F2,1,8,grass,1,grass,graminoid,NA,NA
2019,06MAT,F10,1,1,grass,16.7,grass,graminoid,78,1302.6
2019,06MAT,F10,1,2,grass,3.4,grass,graminoid,58,197.2
2019,06MAT,F10,1,3,grass,8,grass,graminoid,87,696
2019,06MAT,F10,1,4,grass,11.6,grass,graminoid,86,997.6
2019,06MAT,F10,1,5,grass,32.2,grass,graminoid,59,1899.8000000000002
2019,06MAT,F10,1,6,grass,7.1,grass,graminoid,70,497
2019,06MAT,F10,1,7,grass,5.6,grass,graminoid,107,599.1999999999999
2019,06MAT,F10,1,8,grass,14.8,grass,graminoid,67.5,999
2019,06MAT,CT,2,1,grass,4.1,grass,graminoid,73,299.29999999999995
2019,06MAT,CT,2,2,grass,8.1,grass,graminoid,74,599.4
2019,06MAT,CT,2,3,grass,5.5,grass,graminoid,91.5,503.25
2019,06MAT,CT,2,4,grass,7.9,grass,graminoid,89,703.1
2019,06MAT,CT,2,5,grass,7,grass,graminoid,57.5,402.5
2019,06MAT,CT,2,6,grass,8.3,grass,graminoid,96,796.8000000000001
2019,06MAT,CT,2,7,grass,11,grass,graminoid,81.5,896.5
2019,06MAT,CT,2,8,grass,6.9,grass,graminoid,72,496.8
2019,06MAT,F5,2,1,grass,18.3,grass,graminoid,65.5,1198.65
2019,06MAT,F5,2,2,grass,8.4,grass,graminoid,47.5,399
2019,06MAT,F5,2,3,grass,5.8,grass,graminoid,51.5,298.7
2019,06MAT,F5,2,4,grass,6,grass,graminoid,67,402
2019,06MAT,F5,2,5,grass,2.2,grass,graminoid,46.5,102.30000000000001
2019,06MAT,F5,2,6,grass,18,grass,graminoid,66.5,1197
2019,06MAT,F5,2,7,grass,32.4,grass,graminoid,89.5,2899.7999999999997
2019,06MAT,F5,2,8,grass,12.8,grass,graminoid,70.5,902.4000000000001
2019,06MAT,F10,2,1,grass,9.6,grass,graminoid,83,796.8
2019,06MAT,F10,2,2,grass,7,grass,graminoid,71.5,500.5
2019,06MAT,F10,2,3,grass,17.4,grass,graminoid,69,1200.6
2019,06MAT,F10,2,4,grass,4.7,grass,graminoid,85,399.5
2019,06MAT,F10,2,5,grass,3.4,grass,graminoid,88,299.2
2019,06MAT,F10,2,6,grass,2.7,grass,graminoid,109.5,295.65000000000003
2019,06MAT,F10,2,7,grass,0.5,grass,graminoid,93.5,46.75
2019,06MAT,F10,2,8,grass,5.3,grass,graminoid,95,503.5
2010,06MAT,F5,1,5,Hie alp,3.4,Anthoxanthum monticola,forb,NA,NA
2010,06MAT,F10,1,4,Hie alp,3.6,Anthoxanthum monticola,forb,NA,NA
2010,06MAT,F10,1,7,Hie alp,1.1,Anthoxanthum monticola,forb,NA,NA
2010,06MAT,F10,1,8,Hie alp,2.8,Anthoxanthum monticola,forb,NA,NA
2011,06MAT,F5,1,1,Hie alp,4.4,Anthoxanthum monticola,forb,NA,NA
2011,06MAT,F5,1,5,Hie alp,0.9,Anthoxanthum monticola,forb,NA,NA
2011,06MAT,F5,1,8,Hie alp,1,Anthoxanthum monticola,forb,NA,NA
2011,06MAT,F10,1,4,Hie alp,3.6,Anthoxanthum monticola,forb,NA,NA
2011,06MAT,F10,1,8,Hie alp,3,Anthoxanthum monticola,forb,NA,NA
2015,06MAT,F5,1,2,Hie alp,1.4,Anthoxanthum monticola,forb,NA,NA
2015,06MAT,F5,1,4,Hie alp,1.8,Anthoxanthum monticola,forb,NA,NA
2015,06MAT,F5,1,5,Hie alp,1.7,Anthoxanthum monticola,forb,NA,NA
2015,06MAT,F2,1,2,Hie sp.,2.7,Anthoxanthum sp.,forb,NA,NA
2008,06MAT,CT,1,1,Led pal,10.4,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,1,2,Led pal,7.6,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,1,3,Led pal,15.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,1,4,Led pal,8.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,1,1,Led pal,13.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,1,2,Led pal,11.5,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,1,3,Led pal,18.6,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,1,4,Led pal,10.6,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,1,1,Led pal,18.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,1,2,Led pal,9.8,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,1,3,Led pal,10.8,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,1,4,Led pal,10.5,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,1,1,Led pal,9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,1,2,Led pal,9.8,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,1,3,Led pal,19.4,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,1,4,Led pal,5.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,2,1,Led pal,16.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,2,2,Led pal,16.8,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,2,3,Led pal,8.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,2,4,Led pal,14.5,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,2,1,Led pal,15.2,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,2,2,Led pal,18.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,2,3,Led pal,14.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,2,4,Led pal,13.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,2,1,Led pal,17.4,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,2,2,Led pal,20.1,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,2,3,Led pal,13.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,2,4,Led pal,19.6,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,2,1,Led pal,8.6,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,2,2,Led pal,6.3,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,2,3,Led pal,11.2,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,2,4,Led pal,6.1,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,3,1,Led pal,9.4,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,3,2,Led pal,10.1,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,3,3,Led pal,12,Ledum palustre,evergreen,NA,NA
2008,06MAT,CT,3,4,Led pal,5.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,3,1,Led pal,11.1,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,3,2,Led pal,9.1,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,3,3,Led pal,6.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F2,3,4,Led pal,12.6,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,3,1,Led pal,15.1,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,3,2,Led pal,4.8,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,3,3,Led pal,12.2,Ledum palustre,evergreen,NA,NA
2008,06MAT,F5,3,4,Led pal,9.2,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,3,1,Led pal,7.7,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,3,2,Led pal,5.9,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,3,3,Led pal,7.5,Ledum palustre,evergreen,NA,NA
2008,06MAT,F10,3,4,Led pal,9.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,1,Led pal,17.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,2,Led pal,20.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,3,Led pal,20.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,4,Led pal,14.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,5,Led pal,25.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,6,Led pal,17.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,7,Led pal,13.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,1,8,Led pal,10.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,1,Led pal,31.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,2,Led pal,21.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,3,Led pal,5.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,4,Led pal,8.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,5,Led pal,19.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,6,Led pal,14.7,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,7,Led pal,4.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,1,8,Led pal,9.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,1,Led pal,18,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,2,Led pal,7.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,3,Led pal,11.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,4,Led pal,12,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,5,Led pal,5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,6,Led pal,7.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,7,Led pal,11.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,1,8,Led pal,6.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,1,Led pal,11.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,2,Led pal,15.4,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,3,Led pal,19.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,4,Led pal,14.9,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,5,Led pal,26.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,6,Led pal,18.9,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,7,Led pal,21.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,2,8,Led pal,21.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,1,Led pal,29.4,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,2,Led pal,20.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,3,Led pal,24.7,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,4,Led pal,13.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,5,Led pal,17.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,6,Led pal,20.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,7,Led pal,15.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,2,8,Led pal,21.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,1,Led pal,8.9,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,2,Led pal,10.4,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,3,Led pal,15.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,4,Led pal,19.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,5,Led pal,10.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,6,Led pal,5.4,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,7,Led pal,2.7,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,2,8,Led pal,4.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,1,Led pal,8.4,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,2,Led pal,6,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,3,Led pal,7.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,4,Led pal,11.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,5,Led pal,7.4,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,6,Led pal,16,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,7,Led pal,10.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,CT,3,8,Led pal,6.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,1,Led pal,16.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,2,Led pal,11.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,3,Led pal,10,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,4,Led pal,15.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,5,Led pal,7.8,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,6,Led pal,15.6,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,7,Led pal,17.9,Ledum palustre,evergreen,NA,NA
2010,06MAT,F5,3,8,Led pal,15.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,1,Led pal,2.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,2,Led pal,16.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,3,Led pal,16.3,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,4,Led pal,9.1,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,5,Led pal,12.9,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,6,Led pal,11.5,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,7,Led pal,6.2,Ledum palustre,evergreen,NA,NA
2010,06MAT,F10,3,8,Led pal,12.1,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,1,Led pal,11.3,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,2,Led pal,5.4,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,3,Led pal,10.1,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,4,Led pal,5,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,5,Led pal,13.5,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,6,Led pal,15.1,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,7,Led pal,17.2,Ledum palustre,evergreen,NA,NA
2011,06MAT,CT,1,8,Led pal,6.4,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,1,Led pal,22.2,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,2,Led pal,18.5,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,3,Led pal,4,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,4,Led pal,1.4,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,5,Led pal,12.3,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,6,Led pal,3.6,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,7,Led pal,2.9,Ledum palustre,evergreen,NA,NA
2011,06MAT,F5,1,8,Led pal,5.8,Ledum palustre,evergreen,NA,NA
2011,06MAT,F10,1,1,Led pal,15.3,Ledum palustre,evergreen,NA,NA
2011,06MAT,F10,1,2,Led pal,10.6,Ledum palustre,evergreen,NA,NA
2011,06MAT,F10,1,3,Led pal,6.8,Ledum palustre,evergreen,NA,NA
2011,06MAT,F10,1,4,Led pal,5.4,Ledum palustre,evergreen,NA,NA
